path,relative_path,category,file_size,file_size_human,compressed_size,extension
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/left_stick_pressed_left.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/left_stick_pressed_left.png,resourcepacks,266,266 B,276,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/psvita/up_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/psvita/up_button.png,resourcepacks,264,264 B,274,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/a_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/a_key_pressed.png,resourcepacks,330,330 B,340,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/f4_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/f4_key_pressed.png,resourcepacks,327,327 B,337,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/right_stick.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/right_stick.png,resourcepacks,270,270 B,278,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/switch/dpad_right_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/switch/dpad_right_pressed.png,resourcepacks,238,238 B,238,.png
overrides/config/modpack_defaults/config/betterf3.json,config/modpack_defaults/config/betterf3.json,config,4785,4.67 KB,982,.json
overrides/config/modpack_defaults/resource_albums/trailer.json,config/modpack_defaults/resource_albums/trailer.json,config,235,235 B,171,.json
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/q_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/q_key.png,resourcepacks,395,395 B,405,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/hd/touchpad_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/hd/touchpad_pressed.png,resourcepacks,281,281 B,291,.png
